# fueleconomy.gov vehicles dataset, downloaded 2026-05-23, filtered years 2009-2022
year,make,model,mpg_combined,body_type
2009,Chevrolet,Colorado Cab Chassis inc 4WD,18.0,Small Pickup Trucks 4WD
2009,Chevrolet,Colorado Crew Cab 2WD,19.5,Small Pickup Trucks 2WD
2009,Chevrolet,Colorado Crew Cab 4WD,17.0,Small Pickup Trucks 4WD
2009,Chevrolet,Corvette,18.0,Two Seaters
2009,Chevrolet,Equinox AWD,19.5,Sport Utility Vehicle - 4WD
2009,Chevrolet,Equinox FWD,19.5,Sport Utility Vehicle - 2WD
2009,Chevrolet,Express 1500 2WD Passenger,14.0,"Vans, Passenger Type"
2009,Chevrolet,Express 1500 AWD Passenger,14.0,"Vans, Passenger Type"
2009,Chevrolet,HHR FWD,24.0,Sport Utility Vehicle - 2WD
2009,Chevrolet,HHR Panel FWD,24.0,Sport Utility Vehicle - 2WD
2009,Chevrolet,Impala,21.5,Large Cars
2009,Chevrolet,Malibu,23.0,Midsize Cars
2009,Chevrolet,Malibu Hybrid,29.0,Midsize Cars
2009,Chevrolet,Silverado 15 Hybrid 2WD,21.0,Standard Pickup Trucks 2WD
2009,Chevrolet,Silverado 15 Hybrid 4WD,20.0,Standard Pickup Trucks 4WD
2009,Chevrolet,Silverado C15 2WD,16.0,Standard Pickup Trucks 2WD
2009,Chevrolet,Silverado C15 XFE 2WD,17.0,Standard Pickup Trucks 2WD
2009,Chevrolet,Silverado K15 4WD,15.5,Standard Pickup Trucks 4WD
2009,Chevrolet,Suburban 1500 2WD,16.0,Sport Utility Vehicle - 2WD
2009,Chevrolet,Tahoe 1500 2WD,16.0,Sport Utility Vehicle - 2WD
2009,Chevrolet,Tahoe 1500 4WD,15.0,Sport Utility Vehicle - 4WD
2009,Chevrolet,Tahoe 1500 XFE 2WD,17.0,Sport Utility Vehicle - 2WD
2009,Chevrolet,Tahoe Hybrid 2WD,21.0,Sport Utility Vehicle - 2WD
2009,Chevrolet,Tahoe Hybrid 4WD,20.0,Sport Utility Vehicle - 4WD
2009,Chevrolet,TrailBlazer 2WD,16.0,Sport Utility Vehicle - 2WD
2009,Chevrolet,TrailBlazer 4WD,16.0,Sport Utility Vehicle - 4WD
2009,Chevrolet,TrailBlazer AWD,13.0,Sport Utility Vehicle - 4WD
2009,Chevrolet,Traverse AWD,19.0,Sport Utility Vehicle - 4WD
2009,Chevrolet,Traverse FWD,19.0,Sport Utility Vehicle - 2WD
2009,Chevrolet,Van 1500 2WD Cargo,15.0,"Vans, Cargo Type"
2009,Chevrolet,Van 1500 2WD Conversion Cargo,14.0,"Vans, Cargo Type"
2009,Chevrolet,Van 1500 AWD Cargo,15.0,"Vans, Cargo Type"
2009,Chevrolet,Van 1500 AWD Conversion Cargo,14.0,"Vans, Cargo Type"
2009,Chrysler,300 AWD,18.5,Large Cars
2009,Chrysler,300/SRT-8,19.5,Large Cars
2009,Chrysler,Aspen 2WD,15.5,Sport Utility Vehicle - 2WD
2009,Chrysler,Aspen 4WD,15.0,Sport Utility Vehicle - 4WD
2009,Chrysler,Aspen HEV,21.0,Sport Utility Vehicle - 4WD
2009,Chrysler,PT Cruiser,21.0,Sport Utility Vehicle - 2WD
2009,Chrysler,Sebring,22.0,Midsize Cars
2009,Chrysler,Sebring Convertible,21.0,Compact Cars
2009,Chrysler,Town and Country,19.0,Minivan - 2WD
2009,Dodge,Avenger,22.0,Midsize Cars
2009,Dodge,Caliber,24.0,Small Station Wagons
2009,Dodge,Caravan/Grand Caravan FWD,19.0,Minivan - 2WD
2009,Dodge,Challenger,19.0,Compact Cars
2009,Dodge,Charger,19.0,Large Cars
2009,Dodge,Charger AWD,18.5,Large Cars
2009,Dodge,Dakota Pickup 2WD,17.0,Standard Pickup Trucks 2WD
2009,Dodge,Dakota Pickup 4WD,15.0,Standard Pickup Trucks 4WD
2009,Dodge,Durango 2WD,16.0,Sport Utility Vehicle - 2WD
2009,Dodge,Durango 4WD,15.0,Sport Utility Vehicle - 4WD
2009,Dodge,Durango HEV,21.0,Sport Utility Vehicle - 4WD
2009,Dodge,Journey  2WD,19.5,Sport Utility Vehicle - 2WD
2009,Dodge,Journey  4WD,17.0,Sport Utility Vehicle - 4WD
2009,Dodge,Nitro 2WD,18.0,Sport Utility Vehicle - 2WD
2009,Dodge,Nitro 4WD,17.0,Sport Utility Vehicle - 4WD
2009,Dodge,Ram 1500 Pickup 2WD,16.0,Standard Pickup Trucks 2WD
2009,Dodge,Ram 1500 Pickup 4WD,15.0,Standard Pickup Trucks 4WD
2009,Dodge,Viper Convertible,16.0,Two Seaters
2009,Dodge,Viper Coupe,16.0,Two Seaters
2009,Ferrari,599 GTB Fiorano,12.0,Two Seaters
2009,Ferrari,612 Scaglietti,11.5,Midsize Cars
2009,Ferrari,California,15.0,Minicompact Cars
2009,Ferrari,F430,13.0,Two Seaters
2009,Ford,Crown Victoria FFV,19.0,Large Cars
2009,Ford,Edge AWD,18.0,Sport Utility Vehicle - 4WD
2009,Ford,Edge FWD,19.0,Sport Utility Vehicle - 2WD
2009,Ford,Escape 4WD,20.5,Sport Utility Vehicle - 4WD
2009,Ford,Escape FWD,23.0,Sport Utility Vehicle - 2WD
2009,Ford,Escape Hybrid 4WD,28.0,Sport Utility Vehicle - 4WD
2009,Ford,Escape Hybrid FWD,32.0,Sport Utility Vehicle - 2WD
2009,Ford,Expedition 2WD FFV,16.0,Sport Utility Vehicle - 2WD
2009,Ford,Explorer 2WD,16.5,Sport Utility Vehicle - 2WD
2009,Ford,Explorer 4WD,15.5,Sport Utility Vehicle - 4WD
2009,Ford,Explorer Sport Trac 2WD,16.5,Standard Pickup Trucks 2WD
2009,Ford,Explorer Sport Trac 4WD,15.5,Standard Pickup Trucks 4WD
2009,Ford,F150 Pickup 2WD,16.5,Standard Pickup Trucks 2WD
2009,Ford,F150 Pickup 2WD FFV,16.0,Standard Pickup Trucks 2WD
2009,Ford,F150 Pickup 4WD,15.5,Standard Pickup Trucks 4WD
2009,Ford,F150 Pickup 4WD FFV,15.0,Standard Pickup Trucks 4WD
2009,Ford,F150 SFE 2WD,17.0,Standard Pickup Trucks 2WD
2009,Ford,Flex AWD,18.0,Sport Utility Vehicle - 4WD
2009,Ford,Flex FWD,19.0,Sport Utility Vehicle - 2WD
2009,Ford,Focus FWD,27.5,Compact Cars
2009,Ford,Fusion AWD,20.0,Midsize Cars
2009,Ford,Fusion FWD,23.0,Midsize Cars
2009,Ford,Mustang,18.0,Subcompact Cars
2009,Ford,Ranger Pickup 2WD,19.5,Small Pickup Trucks 2WD
2009,Ford,Ranger Pickup 4WD,15.5,Small Pickup Trucks 4WD
2009,Ford,Taurus AWD,19.0,Large Cars
2009,Ford,Taurus FWD,21.0,Large Cars
2009,Ford,Taurus X AWD,18.0,Sport Utility Vehicle - 4WD
2009,Ford,Taurus X FWD,19.0,Sport Utility Vehicle - 2WD
2009,GMC,Acadia AWD,19.0,Sport Utility Vehicle - 4WD
2009,GMC,Acadia FWD,19.0,Sport Utility Vehicle - 2WD
2009,GMC,Canyon 2WD,19.5,Small Pickup Trucks 2WD
2009,GMC,Canyon 4WD,19.0,Small Pickup Trucks 4WD
2009,GMC,Canyon Cab Chassis Inc 2WD,17.0,Small Pickup Trucks 2WD
2009,GMC,Canyon Cab Chassis Inc 4WD,18.0,Small Pickup Trucks 4WD
2009,GMC,Canyon Crew Cab 2WD,19.5,Small Pickup Trucks 2WD
2009,GMC,Canyon Crew Cab 4WD,17.0,Small Pickup Trucks 4WD
2009,GMC,Envoy 2WD,16.5,Sport Utility Vehicle - 2WD
2009,GMC,Envoy 4WD,16.0,Sport Utility Vehicle - 4WD
2009,GMC,Savana 1500  AWD (cargo),15.0,"Vans, Cargo Type"
2009,GMC,Savana 1500  AWD Conversion (cargo),14.0,"Vans, Cargo Type"
2009,GMC,Savana 1500 2WD (Passenger),14.0,"Vans, Passenger Type"
2009,GMC,Savana 1500 2WD (cargo),15.0,"Vans, Cargo Type"
2009,GMC,Savana 1500 2WD Conversion (cargo),14.0,"Vans, Cargo Type"
2009,GMC,Savana 1500 AWD (Passenger),14.0,"Vans, Passenger Type"
2009,GMC,Savana 1500 AWD (cargo),15.0,"Vans, Cargo Type"
2009,GMC,Savana 1500 AWD Conversion (cargo),14.0,"Vans, Cargo Type"
2009,GMC,Sierra 15 Hybrid 2WD,21.0,Standard Pickup Trucks 2WD
2009,GMC,Sierra 15 Hybrid 4WD,20.0,Standard Pickup Trucks 4WD
2009,GMC,Sierra C15 2WD,16.0,Standard Pickup Trucks 2WD
2009,GMC,Sierra C15 XFE 2WD,17.0,Standard Pickup Trucks 2WD
2009,GMC,Sierra K15 4WD,15.5,Standard Pickup Trucks 4WD
2009,GMC,Sierra K15 AWD,14.0,Standard Pickup Trucks 4WD
2009,GMC,Yukon 1500 2WD,16.0,Sport Utility Vehicle - 2WD
2009,GMC,Yukon 1500 4WD,15.0,Sport Utility Vehicle - 4WD
2009,GMC,Yukon 1500 Hybrid 2WD,21.0,Sport Utility Vehicle - 2WD
2009,GMC,Yukon 1500 Hybrid 4WD,20.0,Sport Utility Vehicle - 4WD
2009,GMC,Yukon 1500 XFE 2WD,17.0,Sport Utility Vehicle - 2WD
2009,GMC,Yukon Denali 1500 AWD,14.0,Sport Utility Vehicle - 4WD
2009,GMC,Yukon XL 1500 2WD,16.0,Sport Utility Vehicle - 2WD
